transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_ba05d937,CUST_52665,4820415855840195,2024-10-24 10:55:34.543513+00:00,Healthcare,medical,Lab Corp,454.86,CAD,Canada,Unknown City,medium,Basic Debit,False,Android App,mobile,544869c05bdcb9cfe14a4b45b3630ff1,190.233.139.223,0,False,10,False,"{'num_transactions': 268, 'total_amount': 10168658.429533616, 'unique_merchants': 91, 'unique_countries': 12, 'max_single_amount': 2123489.0426426614}",False
TX_30da854f,CUST_56123,375178453381569,2024-10-19 09:09:09.942237+00:00,Grocery,online,FreshDirect,93732.62,JPY,Japan,Unknown City,medium,Platinum Credit,False,Android App,mobile,00df8bb3c145b8e7dde9d881b0c3155d,174.54.113.19,1,False,9,True,"{'num_transactions': 522, 'total_amount': 15271428.140592698, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 3096569.5131106763}",False
TX_49e6dd31,CUST_68789,371180138327557,2024-10-30 14:31:23.654848+00:00,Gas,major,Mobil,1244.76,CAD,Canada,Unknown City,medium,Platinum Credit,False,iOS App,mobile,5a4f4ca0c0cfb717d9aed202a1e720ec,206.203.244.165,1,False,14,False,"{'num_transactions': 7, 'total_amount': 683379.5534272407, 'unique_merchants': 7, 'unique_countries': 3, 'max_single_amount': 243659.91384153752}",False
TX_739bac6c,CUST_41005,4317567901249092,2024-10-28 18:54:52.201168+00:00,Healthcare,medical,Medical Center,113879.89,NGN,Nigeria,Unknown City,medium,Basic Credit,False,Safari,web,5f1f9110b2606654257fe7d6018d8cca,116.81.166.21,0,False,18,False,"{'num_transactions': 32, 'total_amount': 5273119.22552144, 'unique_merchants': 29, 'unique_countries': 9, 'max_single_amount': 2738994.0576407914}",False
TX_43d7d6dd,CUST_92923,5074259411911219,2024-10-24 13:24:00.200517+00:00,Grocery,physical,Food Lion,253.07,EUR,France,Unknown City,medium,Gold Credit,False,Android App,mobile,54b863a2d75b547a6310204895747b83,6.188.0.154,0,False,13,False,"{'num_transactions': 240, 'total_amount': 4864429.959407442, 'unique_merchants': 87, 'unique_countries': 11, 'max_single_amount': 987740.4587860265}",False
TX_28f5112a,CUST_57369,375787600277817,2024-10-29 11:39:53.186059+00:00,Grocery,online,Amazon Fresh,270.52,GBP,UK,Unknown City,medium,Basic Credit,False,Android App,mobile,df10dfae11cbe36fe06cbbd4225a7117,88.225.2.243,0,False,11,False,"{'num_transactions': 3, 'total_amount': 1012.1393078493638, 'unique_merchants': 3, 'unique_countries': 1, 'max_single_amount': 316.74911069716126}",False
TX_89583ad4,CUST_79705,4538693170906452,2024-10-17 08:48:58.291167+00:00,Grocery,online,Walmart Grocery,187.29,USD,USA,San Jose,medium,Premium Debit,False,Firefox,web,b66f454c5c2f209973556e4f6a7c8f0f,189.178.45.208,0,False,8,False,"{'num_transactions': 131, 'total_amount': 2354640.786238824, 'unique_merchants': 72, 'unique_countries': 11, 'max_single_amount': 968068.9336012271}",False
TX_75927bd1,CUST_91212,6180354970861241,2024-10-21 02:49:00.486943+00:00,Gas,major,Shell,9936.02,MXN,Mexico,Unknown City,medium,Gold Credit,False,iOS App,mobile,81d570c9732178ab7124f5a7936101dc,238.211.97.17,0,False,2,False,"{'num_transactions': 145, 'total_amount': 8121355.469118538, 'unique_merchants': 74, 'unique_countries': 11, 'max_single_amount': 969069.279567062}",False
TX_ce3c570c,CUST_85833,6419377194282228,2024-10-24 18:37:36.207752+00:00,Gas,major,BP,741.53,SGD,Singapore,Unknown City,medium,Platinum Credit,False,Android App,mobile,024961871606486377dc096632f6b29b,18.188.45.78,0,False,18,False,"{'num_transactions': 108, 'total_amount': 1480237.5416901112, 'unique_merchants': 62, 'unique_countries': 11, 'max_single_amount': 701121.0306204188}",False
TX_3b5dd452,CUST_88360,376335062763764,2024-10-15 02:30:41.877435+00:00,Retail,physical,Best Buy,23129.9,MXN,Mexico,Unknown City,medium,Premium Debit,True,Chip Reader,pos,38a38dcff288e4e4d2496995719f25fe,156.198.154.220,1,False,2,False,"{'num_transactions': 616, 'total_amount': 21151007.94074756, 'unique_merchants': 102, 'unique_countries': 12, 'max_single_amount': 2866337.2915490544}",True
